date,close,high,low,number_of_trades,open,volume
2021-04-07 15:51:00,56473.44,56538.51,56367.48,2347.0,56367.48,265.194
2021-04-07 15:52:00,56467.25,56477.01,56425.06,1004.0,56473.44,75.544
2021-04-07 15:53:00,56482.37,56518.66,56442.03,1168.0,56467.25,127.837
2021-04-07 15:54:00,56438.87,56486.51,56420.0,1063.0,56482.37,103.783
2021-04-07 15:55:00,56412.33,56483.35,56400.02,1145.0,56438.87,84.456
2021-04-07 15:56:00,56392.64,56414.46,56367.92,1545.0,56412.33,118.801
2021-04-07 15:57:00,56401.43,56437.56,56358.33,1620.0,56392.64,190.243
2021-04-07 15:58:00,56478.14,56492.39,56400.01,1326.0,56401.43,119.278
2021-04-07 15:59:00,56527.38,56542.74,56461.5,2674.0,56478.13,316.795
2021-04-07 16:00:00,56448.0,56532.59,56408.32,3686.0,56524.25,330.286
2021-04-07 16:01:00,56348.37,56453.3,56300.0,6891.0,56447.99,632.068
2021-04-07 16:02:00,56388.93,56450.49,56250.51,5935.0,56342.08,615.175
2021-04-07 16:03:00,56496.84,56509.47,56391.9,3308.0,56391.91,389.636
2021-04-07 16:04:00,56433.67,56496.83,56412.87,2116.0,56496.83,228.721
2021-04-07 16:05:00,56513.7,56519.74,56410.27,1994.0,56433.68,162.979
2021-04-07 16:06:00,56632.73,56642.15,56507.26,4500.0,56513.71,547.247
2021-04-07 16:07:00,56676.52,56679.04,56601.53,2962.0,56632.73,266.238
2021-04-07 16:08:00,56717.39,56727.0,56660.35,3350.0,56676.53,327.404
2021-04-07 16:09:00,56764.55,56818.0,56648.0,4257.0,56717.41,398.358
2021-04-07 16:10:00,56700.16,56764.55,56685.5,2430.0,56764.54,241.113
2021-04-07 16:11:00,56614.66,56700.17,56603.19,1678.0,56700.17,160.503
2021-04-07 16:12:00,56603.06,56671.27,56603.06,1358.0,56614.66,89.097
2021-04-07 16:13:00,56612.14,56637.12,56569.25,1533.0,56603.07,119.960
2021-04-07 16:14:00,56533.6,56612.14,56508.15,2455.0,56612.14,328.406
2021-04-07 16:15:00,56600.0,56600.0,56479.44,2749.0,56533.59,313.827
2021-04-07 16:16:00,56583.01,56659.16,56568.0,1767.0,56600.0,130.178
2021-04-07 16:17:00,56458.47,56583.47,56458.47,1768.0,56583.0,148.734
2021-04-07 16:18:00,56462.92,56503.11,56416.26,1958.0,56458.48,194.929
2021-04-07 16:19:00,56462.44,56519.99,56438.21,1799.0,56460.24,196.733
2021-04-07 16:20:00,56475.62,56518.89,56446.31,1400.0,56461.11,88.052
2021-04-07 16:21:00,56527.25,56554.44,56475.61,1344.0,56475.62,106.101
2021-04-07 16:22:00,56573.75,56598.26,56527.25,1399.0,56527.25,111.511
2021-04-07 16:23:00,56625.64,56665.57,56573.74,2028.0,56573.74,252.631
2021-04-07 16:24:00,56597.02,56640.0,56559.31,1263.0,56625.64,90.410
2021-04-07 16:25:00,56542.76,56600.0,56510.92,1222.0,56597.02,95.595
2021-04-07 16:26:00,56484.56,56546.38,56452.42,1517.0,56542.75,120.310
2021-04-07 16:27:00,56558.54,56563.35,56481.73,1124.0,56481.75,84.122
2021-04-07 16:28:00,56513.52,56558.06,56452.42,1196.0,56558.06,106.863
2021-04-07 16:29:00,56521.72,56557.79,56500.12,960.0,56512.87,87.196
2021-04-07 16:30:00,56444.0,56523.3,56432.0,1938.0,56521.72,203.194
2021-04-07 16:31:00,56410.0,56466.75,56406.84,1980.0,56444.01,196.462
2021-04-07 16:32:00,56500.01,56515.48,56406.04,1801.0,56409.99,155.187
2021-04-07 16:33:00,56519.72,56519.73,56462.0,1080.0,56500.01,116.740
2021-04-07 16:34:00,56643.95,56643.95,56517.02,1857.0,56518.01,142.339
2021-04-07 16:35:00,56661.04,56671.9,56600.06,1522.0,56643.95,109.684
2021-04-07 16:36:00,56570.4,56667.83,56560.51,1206.0,56661.03,95.701
2021-04-07 16:37:00,56651.81,56675.84,56570.41,1218.0,56570.41,88.882
2021-04-07 16:38:00,56654.4,56694.84,56650.01,1648.0,56651.82,131.998
2021-04-07 16:39:00,56702.66,56727.0,56647.02,1565.0,56654.4,190.944
2021-04-07 16:40:00,56745.98,56766.89,56670.73,2331.0,56703.05,194.644
2021-04-07 16:41:00,56718.0,56763.21,56681.0,1612.0,56745.97,160.036
2021-04-07 16:42:00,56739.03,56741.44,56686.32,987.0,56718.01,71.666
2021-04-07 16:43:00,56797.0,56799.98,56730.01,1688.0,56739.71,174.976
2021-04-07 16:44:00,56739.59,56850.0,56739.58,3059.0,56797.0,247.581
2021-04-07 16:45:00,56841.21,56865.0,56739.57,2344.0,56739.59,143.477
2021-04-07 16:46:00,56832.43,56849.99,56781.42,1505.0,56841.21,110.177
2021-04-07 16:47:00,56789.46,56850.0,56777.77,1215.0,56832.43,94.790
2021-04-07 16:48:00,56784.07,56819.26,56782.0,1013.0,56789.46,85.456
2021-04-07 16:49:00,56783.05,56822.99,56751.6,1781.0,56785.76,237.424
2021-04-07 16:50:00,56740.21,56785.46,56732.52,921.0,56783.06,47.979
2021-04-07 16:51:00,56721.14,56749.28,56684.42,1449.0,56740.22,126.572
2021-04-07 16:52:00,56747.06,56779.07,56721.14,784.0,56721.14,57.988
2021-04-07 16:53:00,56758.11,56865.0,56724.73,1817.0,56747.06,147.264
2021-04-07 16:54:00,56727.71,56871.68,56640.33,6137.0,56758.11,622.991
2021-04-07 16:55:00,56778.37,56901.89,56627.57,8260.0,56725.72,924.099
2021-04-07 16:56:00,56676.86,56808.26,56617.75,4702.0,56778.37,389.459
2021-04-07 16:57:00,56651.61,56733.13,56600.0,3302.0,56676.85,274.374
2021-04-07 16:58:00,56675.18,56730.0,56628.0,2011.0,56650.39,169.773
2021-04-07 16:59:00,56647.92,56730.0,56631.0,2567.0,56675.18,279.082
2021-04-07 17:00:00,56640.91,56700.0,56607.47,2385.0,56647.94,174.035
2021-04-07 17:01:00,56615.56,56673.36,56566.0,2510.0,56640.91,199.790
2021-04-07 17:02:00,56608.41,56627.46,56560.0,1839.0,56615.56,157.770
2021-04-07 17:03:00,56650.52,56670.26,56566.11,1728.0,56606.31,119.738
2021-04-07 17:04:00,56658.6,56680.0,56630.22,1047.0,56650.52,78.892
2021-04-07 17:05:00,56615.01,56663.02,56592.74,1015.0,56659.89,58.159
2021-04-07 17:06:00,56588.99,56668.72,56586.2,972.0,56615.01,63.113
2021-04-07 17:07:00,56543.1,56609.59,56538.06,1260.0,56587.13,81.933
2021-04-07 17:08:00,56538.48,56583.8,56530.0,1035.0,56538.29,63.947
2021-04-07 17:09:00,56523.99,56564.87,56478.0,2303.0,56538.48,168.106
2021-04-07 17:10:00,56525.04,56560.0,56493.56,1446.0,56523.99,102.697
2021-04-07 17:11:00,56477.62,56530.3,56477.61,1356.0,56525.04,90.594
2021-04-07 17:12:00,56500.58,56528.08,56476.51,1199.0,56477.63,75.065
2021-04-07 17:13:00,56522.1,56550.53,56476.12,1090.0,56500.57,84.116
2021-04-07 17:14:00,56526.62,56579.32,56509.97,1185.0,56520.01,87.351
2021-04-07 17:15:00,56502.21,56533.38,56410.0,2908.0,56526.63,484.533
2021-04-07 17:16:00,56408.71,56508.5,56404.74,1725.0,56503.31,129.620
2021-04-07 17:17:00,56466.83,56469.09,56401.78,1462.0,56408.7,101.336
